text,text_1,status_flag
8167,Document Received,Y
7288,Document Received,N
2022,Document Received,N
2804,Document Received,Y
2077,Document Received,N
2345,Document Received,N
3657,Document Received,Y
782,Document Received,N
7874,Document Received,Y
273,Document Received,N
1090,Document Received,N
8834,Document Received,N
3320,Document Received,Y
8033,Document Received,Y
4473,Document Received,Y
6735,Document Received,Y
1952,Document Received,Y
7964,Document Received,Y
3789,Document Received,N
4803,Document Received,N
5636,Document Received,N
7936,Document Received,Y
9905,Document Received,Y
6042,Document Received,N
8504,Document Received,Y
7800,Document Received,Y
8575,Document Received,Y
4685,Document Received,Y
650,Document Received,N
6680,Document Received,N
1742,Document Received,Y
3314,Document Received,Y
6356,Document Received,N
9923,Document Received,N
8651,Document Received,Y
660,Document Received,N
8310,Document Received,Y
3254,Document Received,Y
789,Document Received,N
132,Document Received,N
8977,Document Received,N
2279,Document Received,Y
4643,Document Received,Y
3896,Document Received,N
8503,Document Received,N
935,Document Received,Y
6864,Document Received,N
320,Document Received,N
5858,Document Received,Y
1747,Document Received,Y
6358,Document Received,N
8811,Document Received,N
1209,Document Received,Y
8015,Document Received,Y
2357,Document Received,Y
2986,Document Received,N
9873,Document Received,N
4899,Document Received,N
8209,Document Received,Y
8299,Document Received,N
4148,Document Received,N
5118,Document Received,N
2867,Document Received,N
3965,Document Received,Y
1243,Document Received,Y
3179,Document Received,Y
9817,Document Received,Y
8097,Document Received,Y
1933,Document Received,N
4818,Document Received,N
4492,Document Received,N
1666,Document Received,N
2593,Document Received,Y
4828,Document Received,N
7098,Document Received,Y
5060,Document Received,Y
3061,Document Received,Y
9625,Document Received,N
1674,Document Received,N
9948,Document Received,N
5111,Document Received,N
1685,Document Received,Y
1128,Document Received,N
4587,Document Received,Y
4441,Document Received,Y
1413,Document Received,N
5683,Document Received,Y
6120,Document Received,N
5912,Document Received,N
854,Document Received,Y
1981,Document Received,Y
5100,Document Received,Y
452,Document Received,Y
7693,Document Received,Y
2256,Document Received,Y
4792,Document Received,Y
1176,Document Received,N
1095,Document Received,Y
1966,Document Received,Y
6869,Document Received,N
8270,Document Received,N
5833,Document Received,N
2844,Document Received,N
6382,Document Received,Y
9039,Document Received,N
6655,Document Received,Y
2453,Document Received,N
9555,Document Received,Y
8326,Document Received,N
1341,Document Received,N
4743,Document Received,Y
9086,Document Received,Y
667,Document Received,Y
8937,Document Received,N
3539,Document Received,Y
6034,Document Received,N
5923,Document Received,N
4059,Document Received,Y
1844,Document Received,Y
956,Document Received,N
6799,Document Received,N
3934,Document Received,Y
5189,Document Received,Y
7079,Document Received,Y
4008,Document Received,Y
988,Document Received,N
5503,Document Received,Y
5027,Document Received,N
5500,Document Received,Y
6543,Document Received,N
6538,Document Received,N
1500,Document Received,N
3095,Document Received,Y
5761,Document Received,N
506,Document Received,N
1390,Document Received,N
6883,Document Received,N
8271,Document Received,Y
8154,Document Received,Y
3518,Document Received,Y
6826,Document Received,Y
3713,Document Received,N
6917,Document Received,Y
5286,Document Received,Y
5778,Document Received,Y
2571,Document Received,N
2856,Document Received,N
3873,Document Received,Y
298,Document Received,N
297,Document Received,Y
8113,Document Received,Y
325,Document Received,Y
4690,Document Received,Y
3324,Document Received,Y
4092,Document Received,Y
8427,Document Received,N
3093,Document Received,Y
9060,Document Received,Y
66,Document Received,Y
3390,Document Received,N
9425,Document Received,N
777,Document Received,N
4647,Document Received,Y
1730,Document Received,Y
113,Document Received,Y
8824,Document Received,Y
4502,Document Received,Y
8125,Document Received,N
5035,Document Received,Y
4502,Document Received,N
6161,Document Received,N
4964,Document Received,N
8281,Document Received,N
4575,Document Received,N
3111,Document Received,N
446,Document Received,N
9507,Document Received,Y
4503,Document Received,Y
7657,Document Received,N
9612,Document Received,N
1567,Document Received,N
9473,Document Received,N
4956,Document Received,Y
4995,Document Received,Y
3783,Document Received,Y
7396,Document Received,N
8208,Document Received,N
8559,Document Received,Y
8951,Document Received,N
7066,Document Received,Y
7798,Document Received,N
488,Document Received,Y
6325,Document Received,Y
8922,Document Received,N
1060,Document Received,N
4990,Document Received,Y
5599,Document Received,Y
4106,Document Received,N
1742,Document Received,Y
1040,Document Received,Y
1657,Document Received,N
5074,Document Received,N
8408,Document Received,Y
2029,Document Received,N
6038,Document Received,Y
982,Document Received,Y
378,Document Received,Y
1208,Document Received,N
6317,Document Received,Y
4000,Document Received,N
7005,Document Received,N
5040,Document Received,N
8134,Document Received,Y
2368,Document Received,Y
5709,Document Received,N
6807,Document Received,Y
6722,Document Received,Y
3419,Document Received,Y
3812,Document Received,N
2375,Document Received,Y
5642,Document Received,Y
5493,Document Received,N
35,Document Received,Y
8186,Document Received,N
874,Document Received,Y
8520,Document Received,Y
3783,Document Received,Y
6830,Document Received,Y
4000,Document Received,Y
5492,Document Received,N
6347,Document Received,N
4046,Document Received,N
6477,Document Received,N
5255,Document Received,N
914,Document Received,N
2562,Document Received,N
5256,Document Received,Y
896,Document Received,Y
5219,Document Received,N
6663,Document Received,Y
9813,Document Received,Y
9187,Document Received,N
220,Document Received,N
6300,Document Received,Y
3054,Document Received,N
4824,Document Received,N
3741,Document Received,Y
3742,Document Received,N
9984,Document Received,N
254,Document Received,N
4882,Document Received,N
4328,Document Received,Y
5272,Document Received,N
9361,Document Received,N
2943,Document Received,Y
5957,Document Received,Y
7871,Document Received,Y
9158,Document Received,N
8853,Document Received,N
8084,Document Received,N
6403,Document Received,Y
7425,Document Received,N
3797,Document Received,N
7185,Document Received,N
1073,Document Received,N
6214,Document Received,Y
6953,Document Received,Y
2454,Document Received,N
8859,Document Received,N
7694,Document Received,N
5929,Document Received,Y
301,Document Received,Y
4212,Document Received,N
9398,Document Received,N
7649,Document Received,N
9166,Document Received,N
3260,Document Received,N
4873,Document Received,N
225,Document Received,Y
3175,Document Received,N
4901,Document Received,Y
9745,Document Received,Y
1484,Document Received,Y
7474,Document Received,Y
3600,Document Received,N
8837,Document Received,N
3000,Document Received,N
4951,Document Received,Y
9463,Document Received,Y
1078,Document Received,Y
9928,Document Received,N
5577,Document Received,Y
1646,Document Received,Y
9558,Document Received,Y
6861,Document Received,N
4602,Document Received,N
9482,Document Received,N
1713,Document Received,N
2633,Document Received,N
8570,Document Received,Y
8938,Document Received,Y
159,Document Received,Y
3817,Document Received,N
2649,Document Received,Y
9026,Document Received,Y
8694,Document Received,N
8707,Document Received,Y
2087,Document Received,N
2121,Document Received,Y
9360,Document Received,N
2770,Document Received,N
6798,Document Received,N
3675,Document Received,N
1137,Document Received,N
3668,Document Received,Y
8665,Document Received,N
2977,Document Received,Y
4584,Document Received,N
6611,Document Received,Y
3481,Document Received,Y
3580,Document Received,N
9954,Document Received,N
262,Document Received,N
4362,Document Received,Y
6008,Document Received,Y
4502,Document Received,N
8170,Document Received,Y
4627,Document Received,N
6959,Document Received,Y
1331,Document Received,Y
6331,Document Received,Y
7966,Document Received,N
1467,Document Received,Y
1922,Document Received,Y
5172,Document Received,Y
5096,Document Received,N
1122,Document Received,N
4210,Document Received,N
3199,Document Received,Y
7760,Document Received,Y
4152,Document Received,Y
9117,Document Received,Y
4132,Document Received,N
1588,Document Received,Y
7441,Document Received,Y
298,Document Received,N
2161,Document Received,Y
3801,Document Received,Y
73,Document Received,Y
7638,Document Received,N
9940,Document Received,N
2437,Document Received,Y
8940,Document Received,N
6339,Document Received,N
2372,Document Received,N
5199,Document Received,N
7268,Document Received,N
8877,Document Received,N
8908,Document Received,Y
8132,Document Received,Y
3881,Document Received,Y
1531,Document Received,Y
8573,Document Received,N
5306,Document Received,Y
6374,Document Received,N
2552,Document Received,N
5043,Document Received,Y
5434,Document Received,N
6112,Document Received,N
524,Document Received,Y
711,Document Received,N
6375,Document Received,Y
2201,Document Received,N
2053,Document Received,N
4502,Document Received,N
7498,Document Received,Y
4337,Document Received,N
195,Document Received,N
2709,Document Received,Y
8557,Document Received,Y
2303,Document Received,N
1797,Document Received,Y
7402,Document Received,N
8911,Document Received,N
3800,Document Received,N
453,Document Received,Y
9428,Document Received,N
8667,Document Received,Y
8914,Document Received,N
9348,Document Received,N
3774,Document Received,Y
7178,Document Received,N
1179,Document Received,N
5311,Document Received,N
9609,Document Received,N
1923,Document Received,N
1382,Document Received,N
4065,Document Received,N
2719,Document Received,N
492,Document Received,Y
1440,Document Received,Y
6190,Document Received,Y
5495,Document Received,Y
409,Document Received,Y
1304,Document Received,N
2686,Document Received,N
9021,Document Received,Y
6544,Document Received,N
6386,Document Received,N
8329,Document Received,Y
4029,Document Received,Y
6783,Document Received,N
7273,Document Received,N
8280,Document Received,Y
359,Document Received,N
4156,Document Received,N
4614,Document Received,Y
6288,Document Received,Y
1431,Document Received,N
2428,Document Received,Y
9452,Document Received,N
8641,Document Received,N
8026,Document Received,N
4248,Document Received,Y
4874,Document Received,N
5262,Document Received,N
3141,Document Received,Y
9646,Document Received,N
5923,Document Received,Y
8018,Document Received,N
2900,Document Received,N
8859,Document Received,N
5379,Document Received,Y
2616,Document Received,N
9242,Document Received,Y
1500,Document Received,N
1204,Document Received,Y
9404,Document Received,N
9430,Document Received,N
1622,Document Received,N
7587,Document Received,Y
4635,Document Received,Y
4448,Document Received,Y
7212,Document Received,Y
9700,Document Received,N
514,Document Received,N
446,Document Received,N
5277,Document Received,N
3574,Document Received,N
8504,Document Received,Y
403,Document Received,N
7856,Document Received,N
8012,Document Received,Y
2956,Document Received,Y
2756,Document Received,Y
7434,Document Received,Y
1827,Document Received,Y
8901,Document Received,Y
7056,Document Received,Y
8320,Document Received,Y
3632,Document Received,Y
1905,Document Received,Y
6692,Document Received,N
1683,Document Received,N
497,Document Received,Y
4297,Document Received,Y
3323,Document Received,N
6369,Document Received,N
7339,Document Received,Y
8790,Document Received,Y
4237,Document Received,Y
207,Document Received,Y
7689,Document Received,Y
3657,Document Received,Y
5714,Document Received,N
3104,Document Received,N
1478,Document Received,Y
2979,Document Received,N
2276,Document Received,Y
4982,Document Received,Y
3740,Document Received,Y
376,Document Received,Y
5901,Document Received,N
2587,Document Received,N
3308,Document Received,Y
4960,Document Received,N
315,Document Received,N
6590,Document Received,Y
7624,Document Received,Y
7067,Document Received,Y
8601,Document Received,N
2037,Document Received,Y
984,Document Received,N
230,Document Received,N
6151,Document Received,N
9027,Document Received,Y
5062,Document Received,Y
3298,Document Received,N
2348,Document Received,Y
6611,Document Received,Y
