STATUS_ID,STATUS_NAME,END_STATUS,ACCOUNT_NUMBER
1,Document Received,Yes,10001
2,Document Received,Yes,10002
3,Document Received,No,10003
4,Document Received,Yes,10004
5,Document Received,Yes,10005
6,Document Received,Yes,10006
7,Document Received,No,10007
8,Document Received,No,10008
9,Document Received,No,10009
10,Document Received,No,10010
11,Document Received,No,10011
12,Document Received,No,10012
13,Document Received,No,10013
14,Document Received,Yes,10014
15,Document Received,No,10015
16,Document Received,Yes,10016
17,Document Received,No,10017
18,Document Received,No,10018
19,Document Received,Yes,10019
20,Document Received,Yes,10020
21,Document Received,No,10021
22,Document Received,No,10022
23,Document Received,No,10023
24,Document Received,No,10024
25,Document Received,No,10025
26,Document Received,Yes,10026
27,Document Received,No,10027
28,Document Received,No,10028
29,Document Received,Yes,10029
30,Document Received,No,10030
31,Document Received,Yes,10031
32,Document Received,No,10032
33,Document Received,Yes,10033
34,Document Received,Yes,10034
35,Document Received,Yes,10035
36,Document Received,Yes,10036
37,Document Received,No,10037
38,Document Received,No,10038
39,Document Received,No,10039
40,Document Received,Yes,10040
41,Document Received,No,10041
42,Document Received,Yes,10042
43,Document Received,Yes,10043
44,Document Received,No,10044
45,Document Received,No,10045
46,Document Received,Yes,10046
47,Document Received,Yes,10047
48,Document Received,Yes,10048
49,Document Received,Yes,10049
50,Document Received,No,10050
51,Document Received,No,10051
52,Document Received,Yes,10052
53,Document Received,Yes,10053
54,Document Received,Yes,10054
55,Document Received,No,10055
56,Document Received,Yes,10056
57,Document Received,No,10057
58,Document Received,No,10058
59,Document Received,No,10059
60,Document Received,Yes,10060
61,Document Received,Yes,10061
62,Document Received,No,10062
63,Document Received,Yes,10063
64,Document Received,No,10064
65,Document Received,Yes,10065
66,Document Received,Yes,10066
67,Document Received,No,10067
68,Document Received,Yes,10068
69,Document Received,Yes,10069
70,Document Received,No,10070
71,Document Received,Yes,10071
72,Document Received,Yes,10072
73,Document Received,Yes,10073
74,Document Received,No,10074
75,Document Received,No,10075
76,Document Received,Yes,10076
77,Document Received,No,10077
78,Document Received,No,10078
79,Document Received,Yes,10079
80,Document Received,No,10080
81,Document Received,Yes,10081
82,Document Received,Yes,10082
83,Document Received,No,10083
84,Document Received,Yes,10084
85,Document Received,No,10085
86,Document Received,No,10086
87,Document Received,No,10087
88,Document Received,Yes,10088
89,Document Received,Yes,10089
90,Document Received,No,10090
91,Document Received,Yes,10091
92,Document Received,Yes,10092
93,Document Received,Yes,10093
94,Document Received,Yes,10094
95,Document Received,Yes,10095
96,Document Received,Yes,10096
97,Document Received,Yes,10097
98,Document Received,No,10098
99,Document Received,No,10099
100,Document Received,No,10100
101,Document Received,Yes,10101
102,Document Received,No,10102
103,Document Received,Yes,10103
104,Document Received,Yes,10104
105,Document Received,Yes,10105
106,Document Received,Yes,10106
107,Document Received,Yes,10107
108,Document Received,No,10108
109,Document Received,Yes,10109
110,Document Received,Yes,10110
111,Document Received,No,10111
112,Document Received,Yes,10112
113,Document Received,Yes,10113
114,Document Received,No,10114
115,Document Received,Yes,10115
116,Document Received,No,10116
117,Document Received,Yes,10117
118,Document Received,No,10118
119,Document Received,Yes,10119
120,Document Received,Yes,10120
121,Document Received,No,10121
122,Document Received,No,10122
123,Document Received,Yes,10123
124,Document Received,Yes,10124
125,Document Received,No,10125
126,Document Received,No,10126
127,Document Received,Yes,10127
128,Document Received,No,10128
129,Document Received,Yes,10129
130,Document Received,No,10130
131,Document Received,No,10131
132,Document Received,Yes,10132
133,Document Received,Yes,10133
134,Document Received,No,10134
135,Document Received,No,10135
136,Document Received,No,10136
137,Document Received,Yes,10137
138,Document Received,No,10138
139,Document Received,No,10139
140,Document Received,No,10140
141,Document Received,No,10141
142,Document Received,No,10142
143,Document Received,No,10143
144,Document Received,No,10144
145,Document Received,No,10145
146,Document Received,No,10146
147,Document Received,Yes,10147
148,Document Received,No,10148
149,Document Received,No,10149
150,Document Received,Yes,10150
151,Document Received,No,10151
152,Document Received,Yes,10152
153,Document Received,No,10153
154,Document Received,Yes,10154
155,Document Received,No,10155
156,Document Received,Yes,10156
157,Document Received,Yes,10157
158,Document Received,No,10158
159,Document Received,Yes,10159
160,Document Received,No,10160
161,Document Received,No,10161
162,Document Received,Yes,10162
163,Document Received,Yes,10163
164,Document Received,Yes,10164
165,Document Received,Yes,10165
166,Document Received,No,10166
167,Document Received,Yes,10167
168,Document Received,No,10168
169,Document Received,No,10169
170,Document Received,Yes,10170
171,Document Received,No,10171
172,Document Received,Yes,10172
173,Document Received,Yes,10173
174,Document Received,Yes,10174
175,Document Received,Yes,10175
176,Document Received,Yes,10176
177,Document Received,No,10177
178,Document Received,Yes,10178
179,Document Received,Yes,10179
180,Document Received,Yes,10180
181,Document Received,No,10181
182,Document Received,Yes,10182
183,Document Received,No,10183
184,Document Received,No,10184
185,Document Received,Yes,10185
186,Document Received,Yes,10186
187,Document Received,Yes,10187
188,Document Received,No,10188
189,Document Received,Yes,10189
190,Document Received,Yes,10190
191,Document Received,No,10191
192,Document Received,No,10192
193,Document Received,No,10193
194,Document Received,No,10194
195,Document Received,Yes,10195
196,Document Received,Yes,10196
197,Document Received,Yes,10197
198,Document Received,No,10198
199,Document Received,Yes,10199
200,Document Received,No,10200
201,Document Received,No,10201
202,Document Received,No,10202
203,Document Received,Yes,10203
204,Document Received,No,10204
205,Document Received,Yes,10205
206,Document Received,Yes,10206
207,Document Received,No,10207
208,Document Received,No,10208
209,Document Received,No,10209
210,Document Received,Yes,10210
211,Document Received,No,10211
212,Document Received,No,10212
213,Document Received,No,10213
214,Document Received,Yes,10214
215,Document Received,Yes,10215
216,Document Received,Yes,10216
217,Document Received,Yes,10217
218,Document Received,Yes,10218
219,Document Received,Yes,10219
220,Document Received,Yes,10220
